LID , TYPE , CA , PLAND , ED , AREA_MN , AREA_CV
tile_0006 , Mixed Chaparral ,47.528,39.0572,44.6958,5.941,205.1176
tile_0006 , Coastal Oak Woodland ,30.8112,25.3199,47.2834,5.1352,164.8662
tile_0006 , Coastal Scrub ,38.5141,31.6498,51.9882,7.7028,70.4413
tile_0006 , Annual Grassland ,3.2778,2.6936,14.5849,1.0926,47.5657
tile_0006 , Barren ,1.557,1.2795,14.1145,0.1946,41.775
tile_0014 , Mixed Chaparral ,40.7266,0.8807,2.1419,5.8181,93.7289
tile_0014 , Coastal Oak Woodland ,212.5648,4.5967,15.0054,2.3884,208.6432
tile_0014 , Coastal Scrub ,794.045,17.1711,25.2504,10.5873,511.4428
tile_0014 , Annual Grassland ,940.3164,20.3342,33.3968,7.5832,361.0096
tile_0014 , Urban ,86.8615,1.8784,3.1509,6.2044,318.6053
tile_0014 , Barren ,115.2144,2.4915,19.5119,0.4,284.1477
tile_0014 , Pasture ,1067.0031,23.0738,49.4298,4.4644,724.1838
tile_0014 , Vineyard ,875.1703,18.9254,38.6277,5.9535,540.1545
tile_0014 , Orchard ,205.6814,4.4478,20.2176,1.1239,409.5042
tile_0014 , Closed-Cone Pine ,10.325,0.2233,0.6005,5.1625,0
tile_0014 , Valley Foothill Riparian ,103.0046,2.2275,7.9608,1.8728,244.042
tile_0014 , Lacustrine ,4.0153,0.0868,0.4271,1.0038,55.1776
tile_0014 , Montane Hardwood-Conifer ,10.325,0.2233,0.4333,10.325,0
tile_0014 , Cropland and hayfield ,142.9117,3.0904,11.3469,1.624,220.6334
tile_0014 , Valley Oak Woodland ,16.1431,0.3491,1.3062,1.6143,115.9107
tile_0004 , Mixed Chaparral ,37.2849,20.4036,25.3775,18.6424,60
tile_0004 , Coastal Oak Woodland ,2.0486,1.1211,4.5429,0.6829,73.5391
tile_0004 , Coastal Scrub ,51.0516,27.9372,70.0232,6.3815,185.8861
tile_0004 , Annual Grassland ,88.2545,48.296,68.6133,8.0231,174.4442
tile_0004 , Urban ,1.0653,0.583,0.9399,1.0653,0
tile_0004 , Barren ,3.032,1.6592,17.8583,0.1895,96.3543
tile_0008 , Mixed Chaparral ,31.139,1.7134,1.9059,15.5695,64.2105
tile_0008 , Coastal Oak Woodland ,212.5648,11.6963,34.2749,4.621,175.2911
tile_0008 , Coastal Scrub ,577.4649,31.7747,44.7968,16.0407,266.9101
tile_0008 , Annual Grassland ,949.9859,52.2725,57.5553,52.777,385.0646
tile_0008 , Urban ,0.7375,0.0406,0.2205,0.7375,0
tile_0008 , Barren ,22.9445,1.2625,11.5772,0.2942,177.9503
tile_0008 , Pasture ,9.4237,0.5185,1.3231,2.3559,96.8112
tile_0008 , Vineyard ,0.2458,0.0135,0.1575,0.1229,33.3333
tile_0008 , Orchard ,1.475,0.0812,0.441,0.4917,82.7759
tile_0008 , Closed-Cone Pine ,0.4917,0.0271,0.1103,0.4917,0
tile_0008 , Valley Foothill Riparian ,6.3097,0.3472,1.3704,1.2619,87.7561
tile_0008 , Montane Hardwood-Conifer ,4.5889,0.2525,0.7876,4.5889,0
tile_0001 , Annual Grassland ,1.1472,100,0,1.1472,0
tile_0011 , Mixed Chaparral ,0.7375,0.0102,0.0356,0.7375,0
tile_0011 , Coastal Oak Woodland ,1268.6692,17.5481,36.8315,9.8346,388.4311
tile_0011 , Coastal Scrub ,1287.5165,17.8088,36.6454,9.467,282.4482
tile_0011 , Annual Grassland ,2541.3537,35.1518,42.5055,20.3308,647.7102
tile_0011 , Urban ,4.5889,0.0635,0.4157,2.2945,67.8571
tile_0011 , Barren ,177.2466,2.4517,22.9929,0.3319,199.6292
tile_0011 , Pasture ,851.7341,11.7811,32.8126,4.1147,592.4605
tile_0011 , Vineyard ,763.4796,10.5604,25.8596,4.6839,494.7795
tile_0011 , Orchard ,261.8136,3.6214,14.864,1.7932,359.2256
tile_0011 , Valley Foothill Riparian ,13.6028,0.1882,0.689,4.5343,75.3325
tile_0011 , Lacustrine ,16.6348,0.2301,1.1364,1.0397,52.1121
