LID , TYPE , CA , PLAND , ED , AREA_MN , AREA_CV
tile_0006 , Mixed Chaparral ,45.0696,37.037,53.8702,4.507,215.121
tile_0006 , Barren ,5.5722,4.5791,27.2879,2.7861,5.8824
tile_0006 , Coastal Oak Woodland ,30.6474,25.1852,46.3425,5.1079,165.9676
tile_0006 , Coastal Scrub ,37.2849,30.6397,52.9292,6.2141,62.7422
tile_0006 , Annual Grassland ,3.1139,2.5589,14.3497,0.7785,84.3748
tile_0014 , Mixed Chaparral ,39.2516,0.8488,2.1542,4.3613,94.9499
tile_0014 , Barren ,415.1323,8.9772,56.6972,2.3996,761.3439
tile_0014 , Coastal Oak Woodland ,203.305,4.3964,14.9806,1.9738,227.2457
tile_0014 , Coastal Scrub ,756.3504,16.356,27.8998,7.0032,489.7764
tile_0014 , Annual Grassland ,871.9745,18.8563,36.1701,4.0938,328.108
tile_0014 , Urban ,62.1141,1.3432,6.017,1.172,200.0827
tile_0014 , Pasture ,971.4555,21.0076,51.3797,2.691,422.7321
tile_0014 , Vineyard ,827.2326,17.8888,38.5843,3.9963,326.0927
tile_0014 , Orchard ,199.8633,4.322,19.5614,1.1104,415.8331
tile_0014 , Closed-Cone Pine ,9.9153,0.2144,0.6005,3.3051,59.6875
tile_0014 , Valley Foothill Riparian ,97.7601,2.114,7.7998,1.5768,267.4491
tile_0014 , Lacustrine ,4.0153,0.0868,0.4271,1.0038,55.1776
tile_0014 , Montane Hardwood-Conifer ,10.325,0.2233,0.4333,10.325,0
tile_0014 , Cropland and hayfield ,141.7645,3.0656,11.2602,1.611,214.5328
tile_0014 , Valley Oak Woodland ,13.8487,0.2995,1.269,1.1541,127.1666
tile_0004 , Mixed Chaparral ,37.2849,20.4036,25.3775,18.6424,60
tile_0004 , Barren ,5.2445,2.87,20.9913,0.3496,175.6962
tile_0004 , Coastal Oak Woodland ,2.0486,1.1211,4.5429,0.6829,73.5391
tile_0004 , Coastal Scrub ,49.4947,27.0852,69.5533,4.9495,210.0265
tile_0004 , Annual Grassland ,87.599,47.9372,67.8301,7.9635,176.1329
tile_0004 , Urban ,1.0653,0.583,0.9399,1.0653,0
tile_0008 , Mixed Chaparral ,31.139,1.7134,1.9059,15.5695,64.2105
tile_0008 , Barren ,68.0142,3.7424,27.4703,0.8833,428.0353
tile_0008 , Coastal Oak Woodland ,208.6314,11.4798,34.5584,4.1726,181.7588
tile_0008 , Coastal Scrub ,550.9968,30.3183,51.8218,8.887,254.7945
tile_0008 , Annual Grassland ,935.8914,51.497,60.9104,32.2721,436.4887
tile_0008 , Urban ,0.1639,0.009,0.126,0.0819,0
tile_0008 , Pasture ,9.4237,0.5185,1.3231,2.3559,96.8112
tile_0008 , Vineyard ,0.2458,0.0135,0.1575,0.1229,33.3333
tile_0008 , Orchard ,1.475,0.0812,0.441,0.4917,82.7759
tile_0008 , Closed-Cone Pine ,0.4917,0.0271,0.1103,0.4917,0
tile_0008 , Valley Foothill Riparian ,6.3097,0.3472,1.3704,1.2619,87.7561
tile_0008 , Montane Hardwood-Conifer ,4.5889,0.2525,0.7876,4.5889,0
tile_0001 , Annual Grassland ,1.1472,100,0,1.1472,0
tile_0011 , Mixed Chaparral ,0.7375,0.0102,0.0356,0.7375,0
tile_0011 , Barren ,466.102,6.4471,47.4826,0.9833,895.1049
tile_0011 , Coastal Oak Woodland ,1217.044,16.834,38.3638,6.5432,344.8862
tile_0011 , Coastal Scrub ,1221.2232,16.8918,38.8112,5.5259,317.2426
tile_0011 , Annual Grassland ,2429.9088,33.6103,46.9956,9.8777,591.9068
tile_0011 , Urban ,1.6389,0.0227,0.2138,0.1821,111.8034
tile_0011 , Pasture ,823.1354,11.3855,33.062,3.3191,664.2903
tile_0011 , Vineyard ,740.3712,10.2407,26.5763,4.255,431.4299
tile_0011 , Orchard ,257.7164,3.5647,14.6977,1.7067,367.222
tile_0011 , Valley Foothill Riparian ,13.6028,0.1882,0.689,4.5343,75.3325
tile_0011 , Lacustrine ,16.1431,0.2233,1.1205,1.0089,56.1757
tile_0011 , Cropland and hayfield ,29.0085,0.4012,1.3858,1.7064,201.6427
tile_0011 , Valley Oak Woodland ,13.0292,0.1802,0.5068,2.6058,165.2473
tile_0007 , Barren ,47.2821,4.0369,31.1132,0.7626,318.3201
tile_0007 , Coastal Oak Woodland ,388.5822,33.1771,63.2529,14.3919,255.6639
tile_0007 , Coastal Scrub ,297.7054,25.418,65.0615,5.4128,218.3617
tile_0007 , Annual Grassland ,274.1873,23.4101,58.5602,6.0931,232.1484
tile_0007 , Pasture ,71.6197,6.1149,26.5427,1.9894,231.7066
tile_0007 , Vineyard ,22.8626,1.952,12.1471,0.5576,153.6201
tile_0007 , Orchard ,64.9822,5.5482,23.9031,2.0962,269.8179
tile_0007 , Cropland and hayfield ,0.0819,0.007,0.0978,0.0819,0
tile_0007 , Valley Oak Woodland ,3.9333,0.3358,0.831,1.3111,77.0552
tile_0012 , Mixed Chaparral ,4.2611,0.1002,0.5858,1.4204,17.8339
tile_0012 , Barren ,475.1159,11.1764,74.9143,2.2202,945.7097
tile_0012 , Coastal Oak Woodland ,478.8034,11.2632,36.9285,2.736,279.4432
tile_0012 , Coastal Scrub ,1065.0364,25.0535,59.5341,5.6651,347.5825
tile_0012 , Annual Grassland ,1660.6111,39.0636,73.049,5.8679,418.0886
tile_0012 , Urban ,1.3931,0.0328,0.2896,0.3483,87.0509
tile_0012 , Pasture ,313.7666,7.3809,19.9659,4.754,363.4269
tile_0012 , Vineyard ,244.851,5.7598,15.535,4.897,150.8968
tile_0012 , Orchard ,0.8194,0.0193,0.1751,0.2049,60
tile_0012 , Valley Foothill Riparian ,5.9,0.1388,1.0168,0.9833,93.5414
tile_0012 , Lacustrine ,0.4097,0.0096,0.0875,0.4097,0
tile_0012 , Cropland and hayfield ,0.0819,0.0019,0.0269,0.0819,0
tile_0002 , Barren ,4.7528,24.6809,144.1927,2.3764,93.1034
tile_0002 , Coastal Oak Woodland ,6.0639,31.4894,111.4892,0.758,141.9627
tile_0002 , Coastal Scrub ,8.4403,43.8298,83.2453,2.1101,117.5158
tile_0003 , Mixed Chaparral ,1.8847,1.8822,6.8609,1.8847,0
tile_0003 , Barren ,9.3417,9.329,51.4565,4.6709,54.386
tile_0003 , Coastal Oak Woodland ,32.9418,32.8969,98.625,2.9947,175.188
tile_0003 , Coastal Scrub ,31.8765,31.8331,109.4881,1.9923,102.8454
tile_0003 , Annual Grassland ,24.0918,24.0589,70.3239,1.8532,156.5882
tile_0009 , Mixed Chaparral ,16.1431,0.7243,2.1964,2.3062,186.0404
